simulation,wins,losses,actual_win_rate,final_capital,total_return,max_drawdown,max_losing_streak,profitable
231,406,394,0.5075,7424.466336829108,-0.25755336631708925,-0.5377631591780472,6,False
232,450,350,0.5625,21574.446716405717,1.1574446716405715,-0.23429165087643955,9,True
233,423,377,0.52875,11211.342848728742,0.12113428487287425,-0.24189049742853053,8,True
234,402,398,0.5025,6738.285153617843,-0.32617148463821566,-0.4337091268122859,9,False
235,434,366,0.5425,14637.814521732267,0.46378145217322664,-0.250711463513666,6,True
236,415,385,0.51875,9234.76652890314,-0.07652334710968611,-0.24141879381893527,8,False
237,408,392,0.51,7793.3318751115,-0.22066681248885,-0.3303398771567452,10,False
238,402,398,0.5025,6738.285153617831,-0.3261714846382169,-0.4688286910104953,8,False
239,435,365,0.54375,14997.028059125385,0.4997028059125386,-0.2984753344452208,10,True
240,432,368,0.54,13944.993348534194,0.39449933485341937,-0.2844387333508629,8,True
241,417,383,0.52125,9693.57218200432,-0.03064278179956803,-0.3303782548290588,8,False
242,437,363,0.54625,15742.116874495827,0.5742116874495826,-0.2245237520573541,12,True
243,413,387,0.51625,8797.67656774356,-0.12023234322564402,-0.3759346235329306,8,False
244,416,384,0.52,9461.388689398582,-0.05386113106014179,-0.304045376521087,7,False
245,397,403,0.49625,5969.041037928185,-0.40309589620718156,-0.45878921521056115,7,False
